City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.34,98,100,5.36,NZ,1729986156
1,turpan,42.9333,89.1667,15.22,37,98,2.01,CN,1729986157
2,labrador city,52.9463,-66.9114,0.1,90,100,31.74,CA,1729986160
3,alofi,-19.0595,-169.9187,25.94,78,75,5.66,NU,1729986162
4,adamstown,-25.066,-130.1015,20.05,91,100,6.83,PN,1729986163
5,georgetown,5.4112,100.3354,25.96,88,40,2.06,MY,1729986143
6,qujing,25.4833,103.7833,11.64,79,100,2.61,CN,1729986165
7,edinburgh of the seven seas,-37.0676,-12.3116,15.75,95,100,11.53,SH,1729986167
8,timimoun,29.2639,0.231,22.21,35,0,4.12,DZ,1729986168
9,tadine,-21.55,167.8833,25.71,64,100,5.49,NC,1729986169
10,ribeira grande,38.5167,-28.7,19.87,73,35,4.02,PT,1729986170
11,opuwo,-18.0607,13.84,17.76,37,1,4.01,NA,1729986171
12,atafu village,-8.5421,-172.5159,28.04,79,94,6.06,TK,1729986173
13,albany,42.6001,-73.9662,9.77,45,2,1.34,US,1729985450
14,miquelon,47.0975,-56.3814,9.43,72,64,7.38,PM,1729986175
15,puerto natales,-51.7236,-72.4875,6.7,75,100,4.45,CL,1729986177
16,wailua homesteads,22.0669,-159.378,25.48,93,100,6.17,US,1729986180
17,lawton,34.6087,-98.3903,23.95,38,0,3.6,US,1729985991
18,alice springs,-23.7,133.8833,23.75,10,55,3.6,AU,1729986183
19,saint-louis,16.3333,-15.0,31.83,18,100,3.79,SN,1729985700
20,fale old settlement,-9.3852,-171.2468,28.24,76,91,4.95,TK,1729986185
21,port-aux-francais,-49.35,70.2167,1.51,68,43,14.15,TF,1729986186
22,okhotsk,59.3833,143.3,-9.75,68,11,8.39,RU,1729986189
23,nogliki,51.8333,143.1667,1.84,49,20,4.96,RU,1729986190
24,longyearbyen,78.2186,15.6401,-5.09,80,20,4.63,SJ,1729986191
25,port mathurin,-19.6833,63.4167,23.69,85,19,7.13,MU,1729986192
26,iqaluit,63.7506,-68.5145,-2.15,86,75,2.57,CA,1729986193
27,grytviken,-54.2811,-36.5092,-3.69,76,73,3.68,GS,1729986194
28,manggar,-2.8833,108.2667,28.93,71,100,3.8,ID,1729986195
29,ushuaia,-54.8,-68.3,6.81,76,40,3.6,AR,1729986181
30,misratah,32.3754,15.0925,22.24,67,0,6.92,LY,1729986198
31,port elizabeth,-33.918,25.5701,17.4,90,0,10.8,ZA,1729986200
32,punta arenas,-53.15,-70.9167,10.06,62,75,9.77,CL,1729986201
33,malango,-2.9627,119.9001,23.9,71,50,0.94,ID,1729986202
34,howrah,22.5892,88.3103,26.0,94,40,2.06,IN,1729986203
35,konstantinovka,49.6167,127.9833,2.57,53,100,2.31,RU,1729986204
36,blackmans bay,-43.0167,147.3167,17.51,54,91,0.45,AU,1729986206
37,polyarnyy,69.1989,33.4478,1.86,81,42,5.11,RU,1729986207
38,queenstown,-31.8976,26.8753,12.23,85,81,1.99,ZA,1729986208
39,margaret river,-33.95,115.0667,14.82,61,16,1.85,AU,1729986210
40,hawaiian paradise park,19.5933,-154.9731,23.28,94,100,2.57,US,1729986211
41,lihue,21.9789,-159.3672,25.81,94,100,6.17,US,1729986212
42,olonkinbyen,70.9221,-8.7187,0.55,89,69,3.46,SJ,1729986213
43,san jose del guaviare,2.5729,-72.6459,24.86,95,100,1.18,CO,1729986214
44,kodiak,57.79,-152.4072,7.73,61,0,7.2,US,1729986215
45,copiapo,-27.3667,-70.3333,18.44,48,0,2.05,CL,1729986217
46,jamestown,42.097,-79.2353,8.34,65,40,4.12,US,1729986219
47,cabo san lucas,22.8909,-109.9124,31.17,52,0,4.12,MX,1729986223
48,tralee,52.2704,-9.7026,7.02,78,44,1.04,IE,1729986224
49,roccella ionica,38.322,16.4009,18.9,74,99,2.5,IT,1729986225
50,whakatane,-37.9585,176.9854,18.43,60,61,4.74,NZ,1729986226
51,kerikeri,-35.2268,173.9474,21.06,39,11,4.57,NZ,1729986227
52,itaituba,-4.2761,-55.9836,31.11,35,72,1.18,BR,1729986228
53,fukuecho,32.6881,128.8419,22.2,88,75,2.57,JP,1729986230
54,nema,57.5067,50.5011,2.16,88,100,2.27,RU,1729986231
55,mount pearl,47.5166,-52.7813,8.97,90,100,5.66,CA,1729986233
56,vilyuchinsk,52.9306,158.4028,5.15,75,61,13.29,RU,1729986235
57,gudauri,42.4766,44.477,-8.25,53,1,4.48,GE,1729986236
58,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,52,40,5.0,RU,1729986238
59,gemena,3.25,19.7667,21.44,99,100,0.36,CD,1729986240
60,kaisiadorys,54.8667,24.45,6.94,90,0,1.45,LT,1729986241
61,la gi,10.6667,107.7833,25.58,92,100,4.37,VN,1729986242
62,utrik,11.2278,169.8474,28.67,79,100,6.92,MH,1729986244
63,touros,-5.1989,-35.4608,26.18,74,55,6.04,BR,1729986194
64,iskateley,67.6803,53.1512,0.86,94,60,3.87,RU,1729986246
65,khovd,48.0056,91.6419,3.58,56,100,0.62,MN,1729986247
66,kamiiso,41.8167,140.65,14.21,72,75,3.6,JP,1729986248
67,egilsstadir,65.2653,-14.3948,1.95,69,75,6.17,IS,1729986250
68,mejit,10.2753,170.8646,28.49,79,100,5.54,MH,1729986251
69,cova figueira,14.8905,-24.2934,21.93,71,57,2.98,CV,1729986252
70,ilulissat,69.2167,-51.1,-4.99,74,75,8.23,GL,1729986254
71,brookings,44.3114,-96.7984,11.77,49,89,7.02,US,1729986256
72,constantia,44.1833,28.65,8.17,63,0,2.01,RO,1729986039
73,nizhneudinsk,54.9076,99.0276,1.92,94,100,1.23,RU,1729986258
74,badger,64.8,-147.5333,-7.79,84,75,2.06,US,1729986260
75,talnakh,69.4865,88.3972,-20.88,91,50,2.97,RU,1729986261
76,san jose de guanipa,8.8872,-64.1651,27.55,66,100,5.07,VE,1729986263
77,santa cruz,-17.8,-63.1667,20.03,94,75,5.66,BO,1729985987
78,kavkazskaya,45.445,40.6728,4.48,65,0,2.37,RU,1729986265
79,baruun-urt,46.6806,113.2792,0.24,77,70,3.52,MN,1729986268
80,bredasdorp,-34.5322,20.0403,13.34,89,84,6.0,ZA,1729986269
81,uliastay,47.7417,96.8444,-2.95,72,100,2.67,MN,1729986271
82,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,1729986272
83,neyriz,29.1988,54.3278,17.91,50,76,2.24,IR,1729986274
84,sitka,57.0531,-135.33,8.94,71,75,5.66,US,1729986275
85,great bend,38.3645,-98.7648,17.07,32,0,3.6,US,1729986095
86,tazacorte,28.629,-17.9293,20.54,80,75,6.17,ES,1729986278
87,rongelap,11.1635,166.8941,28.66,78,86,6.03,MH,1729986279
88,hasaki,35.7333,140.8333,21.65,68,90,4.76,JP,1729986280
89,dalbandin,28.8947,64.4101,20.35,26,0,3.77,PK,1729986281
90,richards bay,-28.783,32.0377,18.97,91,100,3.32,ZA,1729986282
91,raja,8.4596,25.678,22.65,91,91,0.78,SS,1729986283
92,aleksandrov gay,50.147,48.5704,5.75,67,98,4.27,RU,1729986285
93,sumusta as sultani,28.9167,30.85,18.83,64,1,4.97,EG,1729986286
94,roma,43.2128,-75.4557,8.39,60,75,4.02,US,1729986287
95,papatowai,-46.5619,169.4708,6.75,96,100,4.15,NZ,1729986288
96,tura,25.5198,90.2201,21.34,79,88,1.41,IN,1729986290
97,puerto ayora,-0.7393,-90.3518,20.86,92,92,3.13,EC,1729986291
98,port lincoln,-34.7333,135.8667,17.77,67,0,5.63,AU,1729986292
99,yongchuan,29.3514,105.8947,15.82,88,100,2.81,CN,1729986293
100,ghadamis,30.1337,9.5007,23.74,25,0,4.53,LY,1729986294
101,sinop,41.7711,34.8709,7.85,87,39,2.01,TR,1729986296
102,harper,4.375,-7.7169,25.13,89,34,3.37,LR,1729986297
103,invercargill,-46.4,168.35,6.69,96,100,3.22,NZ,1729986298
104,bilibino,68.0546,166.4372,-11.91,93,98,1.38,RU,1729986300
105,nova sintra,14.8667,-24.7167,27.53,75,74,7.32,CV,1729986301
106,preobrazheniye,42.9019,133.9064,10.06,80,100,2.09,RU,1729986303
107,mwinilunga,-11.7358,24.4293,18.24,92,97,3.54,ZM,1729986304
108,vorgashor,67.5833,63.95,-3.13,97,100,6.06,RU,1729986306
109,berdigestyakh,62.0989,126.6992,-22.55,100,75,0.92,RU,1729986307
110,meadow lakes,61.6247,-149.6011,1.34,69,0,1.54,US,1729986308
111,pauini,-7.7136,-66.9764,27.82,64,71,0.96,BR,1729986309
112,talcahuano,-36.7167,-73.1167,16.82,67,0,4.12,CL,1729986178
113,karratha,-20.7377,116.8463,33.84,13,1,3.54,AU,1729986311
114,udachny,66.4167,112.4,-11.22,97,100,0.76,RU,1729986312
115,cajati,-24.7361,-48.1228,19.85,92,100,1.66,BR,1729986314
116,severo-yeniseyskiy,60.3725,93.0408,-0.58,98,100,1.94,RU,1729986315
117,avarua,-21.2078,-159.775,25.03,65,75,8.75,CK,1729986316
118,san antonio de pale,-1.4014,5.6325,25.27,83,98,4.4,GQ,1729986318
119,taco pozo,-25.6167,-63.2833,22.43,32,16,2.33,AR,1729986319
120,corumba,-19.0092,-57.6533,23.73,83,100,1.33,BR,1729986312
121,neon karlovasion,37.7903,26.7044,18.28,65,0,4.04,GR,1729986321
122,mendefera,14.8872,38.8153,17.66,72,54,0.83,ER,1729986322
123,mogocha,53.7333,119.7667,-5.75,89,100,0.89,RU,1729986323
124,codrington,-38.2667,141.9667,18.68,52,38,3.03,AU,1729986325
125,weno,7.4515,151.8468,29.97,79,100,2.57,FM,1729986326
126,uirauna,-6.5183,-38.4122,26.37,52,3,4.66,BR,1729986327
127,betio village,1.358,172.9211,31.02,72,22,1.48,KI,1729986328
128,vernon,50.2581,-119.2691,10.8,69,100,0.89,CA,1729986330
129,rabo de peixe,37.8,-25.5833,17.77,99,75,3.09,PT,1729986331
130,brokopondo,4.75,-55.1667,27.6,78,39,4.44,SR,1729986332
131,mandal,25.45,74.5667,23.73,33,13,1.66,IN,1729986072
132,san julian,21.0167,-102.1667,18.3,42,0,6.37,MX,1729986334
133,alesund,62.4723,6.1549,14.07,63,75,7.72,NO,1729986322
134,los alamos,35.8881,-106.307,19.88,26,40,4.12,US,1729986333
135,dakhla,23.6848,-15.958,19.4,80,48,12.19,EH,1729986338
136,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1729986340
137,enewetak,11.3474,162.3373,28.74,77,49,5.3,MH,1729986341
138,hadibu,12.65,54.0333,26.63,82,88,2.47,YE,1729986342
139,st. john's,47.5649,-52.7093,9.98,92,100,5.66,CA,1729986343
140,flin flon,54.7682,-101.865,2.91,75,75,0.0,CA,1729986344
141,bethel,41.3712,-73.414,12.19,46,9,0.89,US,1729986346
142,la passe,45.5549,-0.8967,13.44,89,100,3.74,FR,1729986347
143,plettenberg bay,-34.0527,23.3716,16.02,74,100,0.64,ZA,1729986348
144,al jawf,29.5,38.75,16.24,83,0,2.29,SA,1729986350
145,tezpur,26.6333,92.8,20.23,97,52,2.17,IN,1729986351
146,bayanhongor,46.7167,100.1167,-9.3,80,100,1.53,MN,1729986352
147,jayapura,-2.5333,140.7,23.66,86,92,1.77,ID,1729986353
148,yellowknife,62.456,-114.3525,-1.99,96,75,4.63,CA,1729986301
149,labytnangi,66.6572,66.4183,-7.98,95,100,3.07,RU,1729986355
150,chonchi,-42.6128,-73.8092,10.62,87,51,2.23,CL,1729986357
151,fortuna,40.5982,-124.1573,22.51,63,20,7.72,US,1729986358
152,ust-nera,64.5667,143.2,-18.79,96,98,2.24,RU,1729986359
153,kuala belait,4.5833,114.1833,26.99,79,99,2.02,BN,1729986361
154,zhezqazghan,47.7833,67.7667,7.67,80,100,2.31,KZ,1729986362
155,cill airne,52.05,-9.5167,6.11,86,55,1.33,IE,1729986363
156,pechea,45.6333,27.8,8.23,59,0,3.44,RO,1729986364
157,kone,-21.0595,164.8658,31.07,43,99,4.43,NC,1729986365
